
[Name]
BC_2000

[Data]
X [ m ], Y [ m ], Z [ m ], X [ m ], Y [ m ]
2.50000000e-01, 6.00117333e-02, 0.00000000e+00, 2.50000000e-01, 6.00117333e-02
2.50000000e-01, 6.00117333e-02, 1.00000000e+00, 2.50000000e-01, 6.00117333e-02
2.62352914e-01, 6.05304614e-02, 1.00000000e+00, 2.62352914e-01, 6.05304614e-02
2.62352914e-01, 6.05304614e-02, 0.00000000e+00, 2.62352914e-01, 6.05304614e-02
2.74669439e-01, 6.09515086e-02, 1.00000000e+00, 2.74669439e-01, 6.09515086e-02
2.74669439e-01, 6.09515086e-02, 0.00000000e+00, 2.74669439e-01, 6.09515086e-02
2.86948830e-01, 6.12999722e-02, 1.00000000e+00, 2.86948830e-01, 6.12999722e-02
2.86948830e-01, 6.12999722e-02, 0.00000000e+00, 2.86948830e-01, 6.12999722e-02
2.99187392e-01, 6.15643226e-02, 1.00000000e+00, 2.99187392e-01, 6.15643226e-02
2.99187392e-01, 6.15643226e-02, 0.00000000e+00, 2.99187392e-01, 6.15643226e-02
3.11388105e-01, 6.17486313e-02, 1.00000000e+00, 3.11388105e-01, 6.17486313e-02
3.11388105e-01, 6.17486313e-02, 0.00000000e+00, 3.11388105e-01, 6.17486313e-02
3.23548019e-01, 6.18663952e-02, 1.00000000e+00, 3.23548019e-01, 6.18663952e-02
3.23548019e-01, 6.18663952e-02, 0.00000000e+00, 3.23548019e-01, 6.18663952e-02
3.35667908e-01, 6.19185902e-02, 1.00000000e+00, 3.35667908e-01, 6.19185902e-02
3.35667908e-01, 6.19185902e-02, 0.00000000e+00, 3.35667908e-01, 6.19185902e-02
3.47748667e-01, 6.19047582e-02, 1.00000000e+00, 3.47748667e-01, 6.19047582e-02
3.47748667e-01, 6.19047582e-02, 0.00000000e+00, 3.47748667e-01, 6.19047582e-02
3.59788388e-01, 6.18323199e-02, 1.00000000e+00, 3.59788388e-01, 6.18323199e-02
3.59788388e-01, 6.18323199e-02, 0.00000000e+00, 3.59788388e-01, 6.18323199e-02
3.71786773e-01, 6.16979972e-02, 1.00000000e+00, 3.71786773e-01, 6.16979972e-02
3.71786773e-01, 6.16979972e-02, 0.00000000e+00, 3.71786773e-01, 6.16979972e-02
3.83746028e-01, 6.15088046e-02, 1.00000000e+00, 3.83746028e-01, 6.15088046e-02
3.83746028e-01, 6.15088046e-02, 0.00000000e+00, 3.83746028e-01, 6.15088046e-02
3.95663023e-01, 6.12656176e-02, 1.00000000e+00, 3.95663023e-01, 6.12656176e-02
3.95663023e-01, 6.12656176e-02, 0.00000000e+00, 3.95663023e-01, 6.12656176e-02
4.07541186e-01, 6.09716736e-02, 1.00000000e+00, 4.07541186e-01, 6.09716736e-02
4.07541186e-01, 6.09716736e-02, 0.00000000e+00, 4.07541186e-01, 6.09716736e-02
4.19376701e-01, 6.06311969e-02, 1.00000000e+00, 4.19376701e-01, 6.06311969e-02
4.19376701e-01, 6.06311969e-02, 0.00000000e+00, 4.19376701e-01, 6.06311969e-02
4.31171805e-01, 6.02449588e-02, 1.00000000e+00, 4.31171805e-01, 6.02449588e-02
4.31171805e-01, 6.02449588e-02, 0.00000000e+00, 4.31171805e-01, 6.02449588e-02
4.42926973e-01, 5.98090626e-02, 1.00000000e+00, 4.42926973e-01, 5.98090626e-02
4.42926973e-01, 5.98090626e-02, 0.00000000e+00, 4.42926973e-01, 5.98090626e-02
4.54640508e-01, 5.93370683e-02, 1.00000000e+00, 4.54640508e-01, 5.93370683e-02
4.54640508e-01, 5.93370683e-02, 0.00000000e+00, 4.54640508e-01, 5.93370683e-02
4.66313183e-01, 5.88181615e-02, 1.00000000e+00, 4.66313183e-01, 5.88181615e-02
4.66313183e-01, 5.88181615e-02, 0.00000000e+00, 4.66313183e-01, 5.88181615e-02
4.77945685e-01, 5.82628213e-02, 1.00000000e+00, 4.77945685e-01, 5.82628213e-02
4.77945685e-01, 5.82628213e-02, 0.00000000e+00, 4.77945685e-01, 5.82628213e-02
4.89538014e-01, 5.76740615e-02, 1.00000000e+00, 4.89538014e-01, 5.76740615e-02
4.89538014e-01, 5.76740615e-02, 0.00000000e+00, 4.89538014e-01, 5.76740615e-02
5.01088202e-01, 5.70415594e-02, 1.00000000e+00, 5.01088202e-01, 5.70415594e-02
5.01088202e-01, 5.70415594e-02, 0.00000000e+00, 5.01088202e-01, 5.70415594e-02
5.12599111e-01, 5.63779995e-02, 1.00000000e+00, 5.12599111e-01, 5.63779995e-02
5.12599111e-01, 5.63779995e-02, 0.00000000e+00, 5.12599111e-01, 5.63779995e-02
5.24068654e-01, 5.56799397e-02, 1.00000000e+00, 5.24068654e-01, 5.56799397e-02
5.24068654e-01, 5.56799397e-02, 0.00000000e+00, 5.24068654e-01, 5.56799397e-02
5.35499871e-01, 5.49481772e-02, 1.00000000e+00, 5.35499871e-01, 5.49481772e-02
5.35499871e-01, 5.49481772e-02, 0.00000000e+00, 5.35499871e-01, 5.49481772e-02
5.46888232e-01, 5.41847460e-02, 1.00000000e+00, 5.46888232e-01, 5.41847460e-02
5.46888232e-01, 5.41847460e-02, 0.00000000e+00, 5.46888232e-01, 5.41847460e-02
5.58238566e-01, 5.33917397e-02, 1.00000000e+00, 5.58238566e-01, 5.33917397e-02
5.58238566e-01, 5.33917397e-02, 0.00000000e+00, 5.58238566e-01, 5.33917397e-02
5.69548666e-01, 5.25759235e-02, 1.00000000e+00, 5.69548666e-01, 5.25759235e-02
5.69548666e-01, 5.25759235e-02, 0.00000000e+00, 5.69548666e-01, 5.25759235e-02
5.80817521e-01, 5.17207272e-02, 1.00000000e+00, 5.80817521e-01, 5.17207272e-02
5.80817521e-01, 5.17207272e-02, 0.00000000e+00, 5.80817521e-01, 5.17207272e-02
5.92047215e-01, 5.08473329e-02, 1.00000000e+00, 5.92047215e-01, 5.08473329e-02
5.92047215e-01, 5.08473329e-02, 0.00000000e+00, 5.92047215e-01, 5.08473329e-02
6.03238702e-01, 4.99453582e-02, 1.00000000e+00, 6.03238702e-01, 4.99453582e-02
6.03238702e-01, 4.99453582e-02, 0.00000000e+00, 6.03238702e-01, 4.99453582e-02
6.14389002e-01, 4.90206592e-02, 1.00000000e+00, 6.14389002e-01, 4.90206592e-02
6.14389002e-01, 4.90206592e-02, 0.00000000e+00, 6.14389002e-01, 4.90206592e-02
6.25500143e-01, 4.80664670e-02, 1.00000000e+00, 6.25500143e-01, 4.80664670e-02
6.25500143e-01, 4.80664670e-02, 0.00000000e+00, 6.25500143e-01, 4.80664670e-02
6.36571527e-01, 4.70892526e-02, 1.00000000e+00, 6.36571527e-01, 4.70892526e-02
6.36571527e-01, 4.70892526e-02, 0.00000000e+00, 6.36571527e-01, 4.70892526e-02
6.47605598e-01, 4.60876524e-02, 1.00000000e+00, 6.47605598e-01, 4.60876524e-02
6.47605598e-01, 4.60876524e-02, 0.00000000e+00, 6.47605598e-01, 4.60876524e-02
6.58598661e-01, 4.50664163e-02, 1.00000000e+00, 6.58598661e-01, 4.50664163e-02
6.58598661e-01, 4.50664163e-02, 0.00000000e+00, 6.58598661e-01, 4.50664163e-02
6.69553041e-01, 4.40155156e-02, 1.00000000e+00, 6.69553041e-01, 4.40155156e-02
6.69553041e-01, 4.40155156e-02, 0.00000000e+00, 6.69553041e-01, 4.40155156e-02
6.80469155e-01, 4.29520011e-02, 1.00000000e+00, 6.80469155e-01, 4.29520011e-02
6.80469155e-01, 4.29520011e-02, 0.00000000e+00, 6.80469155e-01, 4.29520011e-02
6.91346347e-01, 4.18632515e-02, 1.00000000e+00, 6.91346347e-01, 4.18632515e-02
6.91346347e-01, 4.18632515e-02, 0.00000000e+00, 6.91346347e-01, 4.18632515e-02
7.02185929e-01, 4.07660902e-02, 1.00000000e+00, 7.02185929e-01, 4.07660902e-02
7.02185929e-01, 4.07660902e-02, 0.00000000e+00, 7.02185929e-01, 4.07660902e-02
7.12986767e-01, 3.96417826e-02, 1.00000000e+00, 7.12986767e-01, 3.96417826e-02
7.12986767e-01, 3.96417826e-02, 0.00000000e+00, 7.12986767e-01, 3.96417826e-02
7.23747253e-01, 3.84900719e-02, 1.00000000e+00, 7.23747253e-01, 3.84900719e-02
7.23747253e-01, 3.84900719e-02, 0.00000000e+00, 7.23747253e-01, 3.84900719e-02
7.34472930e-01, 3.73341478e-02, 1.00000000e+00, 7.34472930e-01, 3.73341478e-02
7.34472930e-01, 3.73341478e-02, 0.00000000e+00, 7.34472930e-01, 3.73341478e-02
7.45157599e-01, 3.61491404e-02, 1.00000000e+00, 7.45157599e-01, 3.61491404e-02
7.45157599e-01, 3.61491404e-02, 0.00000000e+00, 7.45157599e-01, 3.61491404e-02
7.55806208e-01, 3.49511504e-02, 1.00000000e+00, 7.55806208e-01, 3.49511504e-02
7.55806208e-01, 3.49511504e-02, 0.00000000e+00, 7.55806208e-01, 3.49511504e-02
7.66416669e-01, 3.37410308e-02, 1.00000000e+00, 7.66416669e-01, 3.37410308e-02
7.66416669e-01, 3.37410308e-02, 0.00000000e+00, 7.66416669e-01, 3.37410308e-02
7.76988506e-01, 3.25028896e-02, 1.00000000e+00, 7.76988506e-01, 3.25028896e-02
7.76988506e-01, 3.25028896e-02, 0.00000000e+00, 7.76988506e-01, 3.25028896e-02
7.87524283e-01, 3.12611461e-02, 1.00000000e+00, 7.87524283e-01, 3.12611461e-02
7.87524283e-01, 3.12611461e-02, 0.00000000e+00, 7.87524283e-01, 3.12611461e-02
7.98021436e-01, 2.99929157e-02, 1.00000000e+00, 7.98021436e-01, 2.99929157e-02
7.98021436e-01, 2.99929157e-02, 0.00000000e+00, 7.98021436e-01, 2.99929157e-02
8.08481514e-01, 2.87093502e-02, 1.00000000e+00, 8.08481514e-01, 2.87093502e-02
8.08481514e-01, 2.87093502e-02, 0.00000000e+00, 8.08481514e-01, 2.87093502e-02
8.18903506e-01, 2.74100471e-02, 1.00000000e+00, 8.18903506e-01, 2.74100471e-02
8.18903506e-01, 2.74100471e-02, 0.00000000e+00, 8.18903506e-01, 2.74100471e-02
